fileName,totalCount,surpriseCount,index_pairs,surpriseScore,threshold
211279.txt,23.0,3,"9,10|19,20|20,21|",0.13043478260869565,0.27133750000000001
151183.txt,57.0,4,"15,16|16,17|21,22|25,26|",0.070175438596491224,0.36154200000000003
212980.txt,17.0,1,"11,12|",0.058823529411764705,0.38070799999999999
75733.txt,38.0,1,"34,35|",0.026315789473684209,0.38623949999999996
134041.txt,91.0,9,"4,5|7,8|12,13|42,43|45,46|53,54|56,57|61,62|66,67|",0.098901098901098897,0.35902099999999998
61746.txt,47.0,7,"2,3|32,33|33,34|34,35|35,36|38,39|39,40|",0.14893617021276595,0.34449600000000002
39539.txt,43.0,5,"23,24|26,27|27,28|31,32|38,39|",0.11627906976744186,0.3656335
53086.txt,28.0,2,"6,7|18,19|",0.071428571428571425,0.24144125
192692.txt,16.0,1,"1,2|",0.0625,0.3669925
239522.txt,15.0,1,"3,4|",0.066666666666666666,0.24390799999999999
44277.txt,55.0,4,"24,25|30,31|39,40|43,44|",0.072727272727272724,0.35726550000000001
268779.txt,13.0,1,"9,10|",0.076923076923076927,0.34204200000000001
108035.txt,22.0,2,"2,3|3,4|",0.090909090909090912,0.35841525000000002
79684.txt,8.0,1,"4,5|",0.125,0.34631529999999999
93275.txt,19.0,1,"10,11|",0.052631578947368418,0.38316749999999999
159252.txt,13.0,1,"10,11|",0.076923076923076927,0.24108200000000002
170818.txt,16.0,1,"1,2|",0.0625,0.37689875
225651.txt,25.0,2,"7,8|23,24|",0.080000000000000002,0.31637799999999999
97775.txt,25.0,2,"11,12|12,13|",0.080000000000000002,0.364344
138860.txt,35.0,2,"2,3|21,22|",0.057142857142857141,0.3626935
242806.txt,29.0,2,"19,20|27,28|",0.068965517241379309,0.28386800000000001
254255.txt,19.0,1,"9,10|",0.052631578947368418,0.26536950000000004
141186.txt,20.0,2,"14,15|19,20|",0.10000000000000001,0.368616
62703.txt,34.0,2,"6,7|25,26|",0.058823529411764705,0.38602924999999999
24756.txt,19.0,1,"12,13|",0.052631578947368418,0.31490450000000003
5195.txt,55.0,5,"24,25|25,26|33,34|41,42|49,50|",0.090909090909090912,0.216109
258453.txt,23.0,2,"7,8|8,9|",0.086956521739130432,0.37534599999999996
121128.txt,18.0,2,"13,14|16,17|",0.1111111111111111,0.22829750000000001
256318.txt,16.0,2,"4,5|7,8|",0.125,0.34796000000000005
45380.txt,30.0,2,"8,9|11,12|",0.066666666666666666,0.39100699999999999
75243.txt,27.0,1,"19,20|",0.037037037037037035,0.22331799999999999
205032.txt,15.0,1,"14,15|",0.066666666666666666,0.22475349999999999
159087.txt,30.0,4,"7,8|8,9|9,10|20,21|",0.13333333333333333,0.38686124999999999
178049.txt,12.0,1,"11,12|",0.083333333333333329,0.34714025000000004
67121.txt,47.0,3,"34,35|40,41|41,42|",0.063829787234042548,0.36795350000000004
134257.txt,14.0,1,"13,14|",0.071428571428571425,0.37705125
221609.txt,24.0,2,"9,10|10,11|",0.083333333333333329,0.34168975000000001
84251.txt,31.0,4,"1,2|14,15|25,26|26,27|",0.12903225806451613,0.39359149999999998
157041.txt,28.0,1,"13,14|",0.035714285714285712,0.38478324999999997
14124.txt,25.0,2,"2,3|8,9|",0.080000000000000002,0.28453099999999998
223778.txt,20.0,1,"13,14|",0.050000000000000003,0.221831
110478.txt,36.0,3,"9,10|26,27|31,32|",0.083333333333333329,0.33858674999999999
192309.txt,28.0,3,"8,9|20,21|21,22|",0.10714285714285714,0.37021725000000005
854.txt,30.0,4,"6,7|7,8|8,9|22,23|",0.13333333333333333,0.39440950000000002
183562.txt,19.0,2,"6,7|13,14|",0.10526315789473684,0.36277999999999999
130958.txt,33.0,3,"7,8|17,18|25,26|",0.090909090909090912,0.31492800000000004
194750.txt,19.0,1,"12,13|",0.052631578947368418,0.34454650000000003
271770.txt,20.0,1,"4,5|",0.050000000000000003,0.37224924999999998
239708.txt,15.0,3,"11,12|12,13|13,14|",0.20000000000000001,0.27260800000000002
190244.txt,24.0,3,"2,3|5,6|6,7|",0.125,0.37782425000000003
93842.txt,29.0,3,"2,3|8,9|11,12|",0.10344827586206896,0.33220700000000003
123111.txt,31.0,2,"8,9|9,10|",0.064516129032258063,0.39956250000000004
194803.txt,20.0,3,"4,5|5,6|6,7|",0.14999999999999999,0.37150925000000001
121712.txt,22.0,3,"7,8|11,12|18,19|",0.13636363636363635,0.221389
219553.txt,11.0,1,"3,4|",0.090909090909090912,0.28869800000000001
92590.txt,29.0,4,"19,20|20,21|23,24|26,27|",0.13793103448275862,0.30070799999999998
247407.txt,8.0,1,"2,3|",0.125,0.36109774999999994
55795.txt,15.0,2,"12,13|13,14|",0.13333333333333333,0.30329150000000005
65130.txt,15.0,2,"12,13|13,14|",0.13333333333333333,0.26932699999999998
38237.txt,12.0,1,"10,11|",0.083333333333333329,0.393565
139161.txt,45.0,3,"8,9|20,21|31,32|",0.066666666666666666,0.34268999999999999
254309.txt,15.0,2,"3,4|12,13|",0.13333333333333333,0.33153650000000001
201446.txt,24.0,1,"19,20|",0.041666666666666664,0.3873125
181573.txt,18.0,2,"14,15|15,16|",0.1111111111111111,0.39264950000000004
228995.txt,26.0,3,"8,9|19,20|25,26|",0.11538461538461539,0.35664750000000001
148767.txt,23.0,1,"2,3|",0.043478260869565216,0.26764949999999998
100079.txt,33.0,2,"15,16|20,21|",0.060606060606060608,0.283858
181201.txt,37.0,4,"5,6|8,9|15,16|18,19|",0.10810810810810811,0.28233200000000003
110242.txt,25.0,2,"14,15|19,20|",0.080000000000000002,0.396513
271176.txt,24.0,2,"16,17|20,21|",0.083333333333333329,0.24829875000000001
178698.txt,15.0,1,"5,6|",0.066666666666666666,0.38100449999999997
273013.txt,30.0,3,"4,5|5,6|26,27|",0.10000000000000001,0.33320474999999999
112327.txt,21.0,1,"20,21|",0.047619047619047616,0.39155999999999996
67096.txt,16.0,2,"11,12|12,13|",0.125,0.35145874999999999
2759.txt,81.0,6,"22,23|26,27|44,45|60,61|61,62|69,70|",0.07407407407407407,0.35714000000000001
211319.txt,16.0,1,"2,3|",0.0625,0.39838425
173242.txt,9.0,1,"1,2|",0.1111111111111111,0.28651399999999999
163051.txt,15.0,1,"2,3|",0.066666666666666666,0.35598399999999997
258719.txt,17.0,1,"7,8|",0.058823529411764705,0.33242699999999997
81088.txt,27.0,2,"6,7|12,13|",0.07407407407407407,0.25433449999999996
54879.txt,23.0,3,"12,13|13,14|14,15|",0.13043478260869565,0.29972050000000006
173256.txt,16.0,2,"12,13|13,14|",0.125,0.36063050000000002
30333.txt,40.0,4,"19,20|32,33|33,34|34,35|",0.10000000000000001,0.38797875000000004
95943.txt,25.0,3,"9,10|18,19|19,20|",0.12,0.38864199999999999
110915.txt,36.0,1,"21,22|",0.027777777777777776,0.30869924999999998
73550.txt,15.0,1,"11,12|",0.066666666666666666,0.33437850000000002
139411.txt,29.0,2,"6,7|17,18|",0.068965517241379309,0.32310100000000003
19789.txt,30.0,6,"13,14|14,15|20,21|21,22|22,23|23,24|",0.20000000000000001,0.38516
112680.txt,36.0,4,"6,7|7,8|10,11|26,27|",0.1111111111111111,0.16770249999999998
120154.txt,42.0,4,"11,12|12,13|13,14|38,39|",0.095238095238095233,0.37099300000000002
25702.txt,22.0,1,"14,15|",0.045454545454545456,0.26096225000000001
106193.txt,19.0,1,"1,2|",0.052631578947368418,0.398615
114597.txt,36.0,5,"4,5|8,9|15,16|19,20|20,21|",0.1388888888888889,0.34919149999999999
240618.txt,16.0,2,"7,8|11,12|",0.125,0.39998
31777.txt,34.0,5,"10,11|11,12|12,13|22,23|23,24|",0.14705882352941177,0.24192650000000002
115689.txt,72.0,6,"58,59|59,60|62,63|69,70|70,71|71,72|",0.083333333333333329,0.31593550000000004
209595.txt,19.0,4,"10,11|11,12|12,13|13,14|",0.21052631578947367,0.24481150000000002
226576.txt,24.0,2,"22,23|23,24|",0.083333333333333329,0.28725624999999999
208853.txt,39.0,3,"17,18|18,19|19,20|",0.076923076923076927,0.38710299999999997
52561.txt,24.0,4,"6,7|7,8|22,23|23,24|",0.16666666666666666,0.36711249999999995
195704.txt,41.0,2,"6,7|37,38|",0.04878048780487805,0.35582199999999997
32295.txt,24.0,2,"13,14|14,15|",0.083333333333333329,0.38056924999999997
223368.txt,24.0,1,"1,2|",0.041666666666666664,0.35815599999999997
253857.txt,24.0,2,"15,16|18,19|",0.083333333333333329,0.26931474999999999
201877.txt,21.0,2,"6,7|17,18|",0.095238095238095233,0.35058800000000001
105317.txt,23.0,3,"6,7|11,12|12,13|",0.13043478260869565,0.22316149999999998
173295.txt,171.0,14,"15,16|46,47|54,55|72,73|93,94|114,115|115,116|118,119|135,136|139,140|140,141|146,147|157,158|166,167|",0.081871345029239762,0.34644549999999996
181765.txt,44.0,4,"25,26|29,30|32,33|40,41|",0.090909090909090912,0.36187974999999994
237321.txt,29.0,3,"8,9|14,15|24,25|",0.10344827586206896,0.361794
79914.txt,25.0,3,"12,13|13,14|20,21|",0.12,0.34216799999999997
91502.txt,15.0,1,"1,2|",0.066666666666666666,0.3866965
184621.txt,19.0,1,"5,6|",0.052631578947368418,0.37390600000000002
9418.txt,57.0,6,"5,6|6,7|14,15|24,25|25,26|29,30|",0.10526315789473684,0.27824299999999996
57341.txt,66.0,5,"16,17|26,27|29,30|44,45|48,49|",0.07575757575757576,0.34192775000000003
231034.txt,19.0,1,"7,8|",0.052631578947368418,0.32597549999999997
66822.txt,39.0,4,"1,2|5,6|6,7|26,27|",0.10256410256410256,0.38407099999999994
83104.txt,42.0,2,"3,4|14,15|",0.047619047619047616,0.38112524999999997
263996.txt,24.0,1,"18,19|",0.041666666666666664,0.33319899999999997
256093.txt,25.0,3,"12,13|18,19|19,20|",0.12,0.25967399999999996
50360.txt,30.0,3,"7,8|20,21|21,22|",0.10000000000000001,0.34158650000000002
158012.txt,24.0,1,"19,20|",0.041666666666666664,0.38742474999999998
230464.txt,14.0,1,"11,12|",0.071428571428571425,0.33843600000000001
239326.txt,14.0,1,"3,4|",0.071428571428571425,0.32317174999999998
117936.txt,10.0,1,"2,3|",0.10000000000000001,0.37166074999999998
179037.txt,12.0,2,"10,11|11,12|",0.16666666666666666,0.22686775000000001
251703.txt,23.0,2,"3,4|6,7|",0.086956521739130432,0.32574550000000002
63033.txt,18.0,3,"6,7|7,8|8,9|",0.16666666666666666,0.35295899999999997
